tool_id,experiment_id,experiment_order,source_id,VB_um_official,VB_source_file,has_axial_signal,has_rotational_signal,expected_contacts,valid_contacts,missing_contacts,sampling_rate_hz,data_origin_status,include_in_modeling,notes
T01,66,1.0,A66/R66,85.0,data/raw/targets/vb_targets.csv,True,True,6,6,,50000.0,"provenance_unconfirmed (README: NUAA/PHM2010 vs narrativa: lab propio - FINDING 5, lab Q7)",True,"VS_final_um=103 en microscope_vs.csv (serie en conflicto, FINDING 2 - pendiente lab Q1)"
T01,67,2.0,A67/R67,103.0,data/raw/targets/vb_targets.csv,True,True,6,6,,50000.0,"provenance_unconfirmed (README: NUAA/PHM2010 vs narrativa: lab propio - FINDING 5, lab Q7)",True,"VS_final_um=108 en microscope_vs.csv (serie en conflicto, FINDING 2 - pendiente lab Q1)"
T01,68,3.0,A68/R68,119.0,data/raw/targets/vb_targets.csv,True,True,6,6,,50000.0,"provenance_unconfirmed (README: NUAA/PHM2010 vs narrativa: lab propio - FINDING 5, lab Q7)",True,"VS_final_um=121 en microscope_vs.csv (serie en conflicto, FINDING 2 - pendiente lab Q1)"
T01,69,4.0,A69/R69,136.0,data/raw/targets/vb_targets.csv,True,True,6,6,,50000.0,"provenance_unconfirmed (README: NUAA/PHM2010 vs narrativa: lab propio - FINDING 5, lab Q7)",True,"VS_final_um=136 en microscope_vs.csv (serie en conflicto, FINDING 2 - pendiente lab Q1)"
T01,70,5.0,A70/R70,150.0,data/raw/targets/vb_targets.csv,True,True,6,6,,50000.0,"provenance_unconfirmed (README: NUAA/PHM2010 vs narrativa: lab propio - FINDING 5, lab Q7)",True,"VS_final_um=148 en microscope_vs.csv (serie en conflicto, FINDING 2 - pendiente lab Q1)"
T01,71,,,,,False,False,0,0,,,performed_but_not_recorded (lab clarification 2026-06-12),False,"GAP RESOLVED-IN-PART: physically performed, signal acquisition forgotten (lab 2026-06-12); VS=159 in microscope_vs.csv, unconfirmed as official target (lab Q1); no signals, no official VB"
T01,72,,,,,False,False,0,0,,,performed_but_not_recorded (lab clarification 2026-06-12),False,"GAP RESOLVED-IN-PART: physically performed, signal acquisition forgotten (lab 2026-06-12); VS=170 in microscope_vs.csv, unconfirmed as official target (lab Q1); no signals, no official VB"
T01,73,6.0,A73/R73,168.0,data/raw/targets/vb_targets.csv,True,True,6,6,,50000.0,"provenance_unconfirmed (README: NUAA/PHM2010 vs narrativa: lab propio - FINDING 5, lab Q7)",True,"VS_final_um=176 en microscope_vs.csv (serie en conflicto, FINDING 2 - pendiente lab Q1)"
T01,74,7.0,A74/R74,190.0,data/raw/targets/vb_targets.csv,True,True,6,6,,50000.0,"provenance_unconfirmed (README: NUAA/PHM2010 vs narrativa: lab propio - FINDING 5, lab Q7)",True,"VS_final_um=181 en microscope_vs.csv (serie en conflicto, FINDING 2 - pendiente lab Q1)"
T01,75,8.0,A75/R75,215.0,data/raw/targets/vb_targets.csv,True,True,6,6,,50000.0,"provenance_unconfirmed (README: NUAA/PHM2010 vs narrativa: lab propio - FINDING 5, lab Q7)",True,"VS_final_um=189 en microscope_vs.csv (serie en conflicto, FINDING 2 - pendiente lab Q1)"
T01,76,9.0,A76/R76,245.0,data/raw/targets/vb_targets.csv,True,True,6,6,,50000.0,"provenance_unconfirmed (README: NUAA/PHM2010 vs narrativa: lab propio - FINDING 5, lab Q7)",True,"VS_final_um=200 en microscope_vs.csv (serie en conflicto, FINDING 2 - pendiente lab Q1)"
T01,77,10.0,A77/R77,280.0,data/raw/targets/vb_targets.csv,True,True,6,4,A77_p5;A77_p6;R77_p5;R77_p6,50000.0,"provenance_unconfirmed (README: NUAA/PHM2010 vs narrativa: lab propio - FINDING 5, lab Q7)",True,"VS_final_um=212 en microscope_vs.csv (serie en conflicto, FINDING 2 - pendiente lab Q1); end_of_life=1; contactos p5-p6 faltantes en ambos ejes (FINDING 1 - pendiente lab Q5)"
