phase,output_file,exists_in_worktree,main_metric,produced_by,data_used,target_used,still_valid,needs_reinterpretation_after_p7,depends_on_vb_vs_conflict
P0 pre-P1 benchmark,outputs/metrics/_before_nested_global_tuning/09_all_metrics.csv,True,ElasticNet SOLO_A 19.07 MAE (with global-tuning leak in CT branches),scripts/run_layered_pipeline.py (old mode),experiment_features (10 exps),VB_um,SUPERSEDED by P1,kept as before/after evidence of the tuning leak,YES (absolute)
P1 nested benchmark,outputs/metrics/benchmark_before_after_nested_tuning_minimal.csv,True,winner ElasticNet SOLO_A_N_ST MAE 19.07; nested CT degrades +6.96,scripts/run_nested_benchmark_metrics.py + build_before_after_nested.py,experiment_features,VB_um,VALID,none — methodological finding robust to target scale,YES (absolute values)
P1 closure,outputs/metrics/p1_closure_summary.csv,True,108/108 tuned configs fold-unstable,scripts/build_p1_closure.py,benchmark outputs,VB_um,VALID,none,NO (stability finding)
Leakage audit,outputs/metrics/leakage_checks.csv,True,"9 checks PASS (incl. synthetic_from_train_fold_only, P7)",src/phm/leakage_audit.py via pipeline scripts,experiment_features + artifacts,VB_um,VALID,none,NO
P2 time-aware,outputs/metrics/time_aware_results.csv,True,"Poly2(t)=4.96 << Linear(t)=9.93 << EN(x,t)=17.46 < EN(x)=19.07",scripts/run_time_aware_baselines.py,experiment_features + t=order,VB_um,VALID,temporal-degeneracy conclusion robust; absolute MAEs depend on target; t=order biased by 71-72 gap (now confirmed performed),YES + 71-72 gap
P3 PINN ablations,outputs/metrics/pinn_comparison_results.csv,True,PINN_mono 18.57 best G3; rate term destructive; end-of-life flattening,scripts/run_pinn_comparison.py,experiment_features (x_min) + t,VB_um,VALID,same as P2: t-axis and increments depend on F2/F3,YES
P4 RUL derivation,outputs/metrics/rul_derivation_results.csv,True,t_failure Poly2 10.77 / PINN_mono 11.49 / Linear 11.84 (threshold 300um provisional),scripts/derive_rul.py,P2/P3 curves,VB_um,VALID as conceptual,"STRONG dependence on F2: if VS series were official (max 212), extrapolation distance doubles",YES (critical)
P5 uncertainty,"outputs/metrics/uncertainty_failure_distribution.csv (+rul_distribution, vb_bands)",True,"structural >> epistemic; Poly2 [10.57,11.00] vs PINN [11.24,11.47] no overlap",scripts/uncertainty_analysis.py,P2/P3 ensembles,VB_um,VALID descriptive,bands shift with target scale; non-overlap finding likely robust,YES
P5 evolution baseline,reports/pinn_evolution_baseline.md,True,frozen T01 failure profile + scorecard 11 metrics + tracks A-E,manual (P5 session),all P1-P5 outputs,VB_um,VALID as baseline,becomes the PINN-evolution anchor of the synthetic-refocus frame,partially
P6 paper,paper/phm_pinn_paper_overleaf_integrated_light_v5.zip,True,IEEE manuscript build light_v5/v6; 9 single-column figures; claims discipline,scripts/prepare_overleaf_workspace.py + make_paper_figures_v2-v4 + build_paper_zips.py,P1-P5 outputs,VB_um,VALID as baseline-run paper,must be restructured per revised_paper_outline_synthetic_focus.md AFTER P7 gate closes,YES (all numbers)
Communication,"outputs/presentations/phm_story_deck_es.pptx (main repo only, UNCOMMITTED)",False,story deck 7 actos ES + README P1-P6 story,"story-deck tooling (main repo, uncommitted)",P1-P6 figures,VB_um,VALID as baseline narrative,"README/deck refresh planned; NOTE: deck not committed, lives only in main working tree",YES
P7 signal QA,outputs/metrics/t01_signal_qa.csv,True,fs=50kHz uniform across 136 files (spread 3.6e-10); 0 NaN; 0 dup timestamps,scripts/run_signal_qa.py,raw segments + full signals,,VALID (new),closes F4 at evidence level,NO
