model,feature_view,uses_x,uses_t,MAE,RMSE,R2,MAPE,t_policy,notes
Dummy,SOLO_A,True,False,56.35555555555557,66.6823129787617,-0.23456790123456805,38.43096405818544,,media del train; ignora x
ElasticNet(x),SOLO_A,True,False,19.0676065719693,26.547358239846673,0.8043245727659085,14.830258023774057,,mejor modelo del benchmark clasico (ST)
Linear(t),T_ONLY,False,True,9.934449807967372,12.144024208358429,0.9590532988754736,6.249660905366213,t=experiment_order; min-max normalizado con train-fold (t_norm=(t-min_tr)/(max_tr-min_tr)); test transformado con params del train,solo orden temporal normalizado
Poly2(t),T_ONLY,False,True,4.964601871661609,6.242212712567996,0.9891814066316242,3.61049193209403,t=experiment_order; min-max normalizado con train-fold (t_norm=(t-min_tr)/(max_tr-min_tr)); test transformado con params del train,curva temporal cuadratica (referencia transparente)
"ElasticNet(x,t)",SOLO_A,True,True,17.46198497564197,24.047718248578576,0.8394384988816308,13.5940419364671,t=experiment_order; min-max normalizado con train-fold (t_norm=(t-min_tr)/(max_tr-min_tr)); test transformado con params del train,defaults ST del benchmark + t (sin tuning)
"ElasticNet(x,t)",SOLO_R,True,True,28.005574983370945,35.054973775931124,0.6588126167351385,18.517706840730657,t=experiment_order; min-max normalizado con train-fold (t_norm=(t-min_tr)/(max_tr-min_tr)); test transformado con params del train,defaults ST del benchmark + t (sin tuning)
"ElasticNet(x,t)",FUSION,True,True,23.715372489635016,34.33984100822137,0.6725912889588161,15.065294347488095,t=experiment_order; min-max normalizado con train-fold (t_norm=(t-min_tr)/(max_tr-min_tr)); test transformado con params del train,defaults ST del benchmark + t (sin tuning)
"MLP(x,t)",SOLO_A,True,True,266.4762613486714,457.2769227769721,-57.05668564045681,163.97929107467388,t=experiment_order; min-max normalizado con train-fold (t_norm=(t-min_tr)/(max_tr-min_tr)); test transformado con params del train,"hidden=(32,), seed fijo, sin tuning; reportar inestabilidad"
"MLP(x,t)",SOLO_R,True,True,361.87651638880527,940.4379775576077,-244.55794353002156,155.86846645750938,t=experiment_order; min-max normalizado con train-fold (t_norm=(t-min_tr)/(max_tr-min_tr)); test transformado con params del train,"hidden=(32,), seed fijo, sin tuning; reportar inestabilidad"
"MLP(x,t)",FUSION,True,True,243.42269652925324,648.8984521025009,-115.9087848040841,103.00367125992547,t=experiment_order; min-max normalizado con train-fold (t_norm=(t-min_tr)/(max_tr-min_tr)); test transformado con params del train,"hidden=(32,), seed fijo, sin tuning; reportar inestabilidad"
