m,outer_tool,winner,outer_mae
2,T1,wls_g1|full|-|eb0.2,7.52
2,T2,wls_g3|full|-|eb0.2,3.96
2,T3,wls_g3|full|-|eb0.2,0.96
2,T4,wls_g2|full|loc|eb0.2,13.56
2,T5,wls_g3|full|-|eb0.2,1.47
2,T6,wls_g1|full|-|eb0.2,5.75
2,T7,wls_g2|full|loc|eb0.2,12.63
2,T8,wls_g3|full|-|eb0.2,6.56
2,T9,wls_g3|full|-|eb0.2,9.75
2,T10,wls_g2|full|loc|eb0.2,8.09
2,T11,wls_g3|full|-|eb0.2,8.33
2,T12,wls_g1|full|-|eb0.2,3.72
2,T13,wls_g1|m_matched|loc|eb0.2,5.72
2,T14,wls_g3|m_matched|-|eb0.0,34.11
2,T15,wls_g3|full|loc|eb0.2,19.42
2,T16,wls_g3|m_matched|-|eb0.0,67.43
2,T17,wls_g3|full|-|eb0.2,26.95
2,T18,wls_g1|m_matched|loc|eb0.2,85.22
3,T1,siegel|full|loc|eb0.0,0.53
3,T2,siegel|full|loc|eb0.0,7.27
3,T3,siegel|full|loc|eb0.0,2.74
3,T4,theil_sen|full|loc|eb0.0,21.6
3,T5,siegel|full|loc|eb0.0,3.79
3,T6,siegel|full|loc|eb0.0,0.0
3,T7,siegel|full|loc|eb0.2,16.31
3,T8,siegel|full|loc|eb0.0,0.65
3,T9,siegel|full|loc|eb0.0,5.97
3,T10,siegel|full|loc|eb0.2,9.15
3,T11,siegel|full|loc|eb0.0,9.6
3,T12,siegel|full|loc|eb0.0,10.7
3,T13,siegel|full|loc|eb0.0,8.4
3,T14,siegel|full|loc|eb0.0,29.8
3,T15,siegel|full|loc|eb0.2,27.52
3,T16,siegel|full|loc|eb0.0,12.48
3,T17,wls_g3|m_matched|loc|eb0.2,11.24
3,T18,wls_g3|m_matched|-|eb0.2,132.17
4,T1,wls_g3|m_matched|-|eb0.0,2.36
4,T2,wls_g3|m_matched|-|eb0.0,2.42
4,T3,wls_g3|m_matched|-|eb0.0,2.51
4,T4,wls_g3|m_matched|loc|eb0.0,7.82
4,T5,wls_g3|m_matched|-|eb0.0,1.29
4,T6,wls_g3|m_matched|-|eb0.0,0.0
4,T7,wls_g3|m_matched|loc|eb0.0,5.69
4,T8,wls_g3|m_matched|-|eb0.0,2.41
4,T9,wls_g3|m_matched|-|eb0.0,0.8
4,T10,wls_g3|m_matched|-|eb0.0,3.09
4,T11,wls_g3|m_matched|-|eb0.0,2.83
4,T12,wls_g3|m_matched|-|eb0.0,6.4
4,T13,wls_g3|m_matched|-|eb0.0,4.82
4,T14,wls_g3|m_matched|loc|eb0.0,11.38
4,T15,wls_g3|m_matched|loc|eb0.0,10.44
4,T16,wls_g3|m_matched|-|eb0.0,11.97
4,T17,wls_g3|m_matched|-|eb0.0,7.28
4,T18,wls_g3|m_matched|-|eb0.0,17.26
