model,vb_failure_um,vb_0_um,vb_max_observed,model_vb_max_in_range,t_failure,rul_at_last_obs,crossing_within_horizon,rul_extrapolated
Linear(t),220,103.0,212.0,211.2,12.85,0.85,True,True
Linear(t),250,103.0,212.0,211.2,15.9,3.9,True,True
Linear(t),300,103.0,212.0,211.2,21.0,9.0,True,True
Linear(t),600,103.0,212.0,211.2,no_crossing_within_horizon,n/a,False,True
Poly2(t),220,103.0,212.0,208.8,13.4,1.4,True,True
Poly2(t),250,103.0,212.0,208.8,17.6,5.6,True,True
Poly2(t),300,103.0,212.0,208.8,no_crossing_within_horizon,n/a,False,True
Poly2(t),600,103.0,212.0,208.8,no_crossing_within_horizon,n/a,False,True
Classical_best(EN),220,103.0,212.0,198.7,no_crossing_within_horizon,n/a,False,True
Classical_best(EN),250,103.0,212.0,198.7,no_crossing_within_horizon,n/a,False,True
Classical_best(EN),300,103.0,212.0,198.7,no_crossing_within_horizon,n/a,False,True
Classical_best(EN),600,103.0,212.0,198.7,no_crossing_within_horizon,n/a,False,True
PINN_mono,220,103.0,212.0,212.7,14.85,2.85,True,True
PINN_mono,250,103.0,212.0,212.7,no_crossing_within_horizon,n/a,False,True
PINN_mono,300,103.0,212.0,212.7,no_crossing_within_horizon,n/a,False,True
PINN_mono,600,103.0,212.0,212.7,no_crossing_within_horizon,n/a,False,True
PINN_softplus_rate,220,103.0,212.0,215.7,15.9,3.9,True,True
PINN_softplus_rate,250,103.0,212.0,215.7,no_crossing_within_horizon,n/a,False,True
PINN_softplus_rate,300,103.0,212.0,215.7,no_crossing_within_horizon,n/a,False,True
PINN_softplus_rate,600,103.0,212.0,215.7,no_crossing_within_horizon,n/a,False,True
PINN_mono+softplus,220,103.0,212.0,215.3,16.15,4.15,True,True
PINN_mono+softplus,250,103.0,212.0,215.3,no_crossing_within_horizon,n/a,False,True
PINN_mono+softplus,300,103.0,212.0,215.3,no_crossing_within_horizon,n/a,False,True
PINN_mono+softplus,600,103.0,212.0,215.3,no_crossing_within_horizon,n/a,False,True
