regime,m,model,n_tools,MAE,MAE_median,coverage,width
R0,2,pinode,18,11.68,6.97,93.4,66.6
R0,2,pinode_nogate,18,13.0,6.83,,
R0,2,ode_nophys,18,13.14,6.89,,
R0,2,p1,18,13.81,10.86,,
R0,2,gru,18,13.9,8.31,,
R0,3,pinode,18,10.92,7.64,93.2,55.7
R0,3,pinode_nogate,18,11.18,8.42,,
R0,3,ode_nophys,18,11.72,7.22,,
R0,3,p1,18,11.57,8.86,,
R0,3,gru,18,12.45,8.56,,
R0,4,pinode,18,6.6,5.02,94.0,62.5
R0,4,pinode_nogate,18,7.5,5.35,,
R0,4,ode_nophys,18,6.32,3.78,,
R0,4,p1,18,9.67,7.61,,
R0,4,gru,18,10.17,6.02,,
R1,2,pinode,18,13.65,11.63,93.4,82.1
R1,2,pinode_nogate,18,14.4,11.97,,
R1,2,ode_nophys,18,14.02,10.05,,
R1,2,p1,18,15.22,13.88,,
R1,2,gru,18,14.55,9.67,,
R1,3,pinode,18,11.62,7.8,93.2,63.7
R1,3,pinode_nogate,18,12.23,8.13,,
R1,3,ode_nophys,18,12.1,10.04,,
R1,3,p1,18,11.66,9.84,,
R1,3,gru,18,13.05,7.92,,
R1,4,pinode,18,6.97,6.18,94.0,59.1
R1,4,pinode_nogate,18,7.81,6.97,,
R1,4,ode_nophys,18,7.01,6.17,,
R1,4,p1,18,10.29,9.54,,
R1,4,gru,18,9.91,5.46,,
R2,2,pinode,18,13.4,9.78,93.0,75.3
R2,2,pinode_nogate,18,14.69,10.73,,
R2,2,ode_nophys,18,15.98,9.11,,
R2,2,p1,18,15.37,12.54,,
R2,2,gru,18,25.53,26.79,,
R2,3,pinode,3,22.31,21.84,92.7,55.2
R2,3,pinode_nogate,3,24.43,21.11,,
R2,3,ode_nophys,3,22.39,24.35,,
R2,3,p1,3,25.71,22.94,,
R2,3,gru,3,38.07,50.43,,
R2,4,pinode,2,11.59,11.59,92.4,67.1
R2,4,pinode_nogate,2,17.88,17.88,,
R2,4,ode_nophys,2,9.81,9.81,,
R2,4,p1,2,17.38,17.38,,
R2,4,gru,2,42.61,42.61,,
