held_out_experiment,n_sel3,n_sel4,shared,jaccard,only_with_shap,dropped_by_shap
66,10,10,6,0.429,A_band1_ratio_std;R_band1_ratio_std;R_dominant_freq_std;R_total_power_std,A_band2_ratio_std;A_band3_ratio_std;A_spectral_skewness_std;R_spectral_skewness_std
67,10,10,6,0.429,A_segment_n_samples_std;R_band1_ratio_std;R_spectral_power_std;R_total_power_std,A_entropy_std;A_segment_duration_s_std;R_spectral_skewness_std;R_waveform_length_std
68,10,10,6,0.429,R_band1_ratio_std;R_dominant_freq_mean;R_min_median;R_wavelet_entropy_mean,R_freq_variance_median;R_freq_variance_std;R_peak_to_peak_median;R_spectral_skewness_std
69,10,10,7,0.538,A_entropy_mean;R_spectral_kurtosis_std;R_wavelet_entropy_mean,A_band2_ratio_std;A_wavelet_d3_ratio_std;R_entropy_mean
70,10,10,7,0.538,R_spectral_power_std;R_wavelet_entropy_mean;R_wavelet_entropy_std,A_band2_ratio_std;R_spectral_skewness_std;R_waveform_length_std
73,10,10,5,0.333,A_band3_ratio_std;A_mean_power_std;A_spectral_power_std;R_max_median;R_min_median,A_band2_ratio_std;A_waveform_length_std;A_wavelet_d3_ratio_std;R_entropy_mean;R_peak_to_peak_median
74,10,10,5,0.333,R_spectral_kurtosis_mean;R_spectral_kurtosis_std;R_spectral_power_std;R_wavelet_entropy_mean;R_wavelet_entropy_std,A_wavelet_entropy_std;A_zero_crossing_rate_std;R_dominant_freq_median;R_entropy_mean;R_waveform_length_std
75,10,10,7,0.538,A_spectral_kurtosis_std;R_band2_ratio_std;R_mean_power_std,A_spectral_skewness_std;R_dominant_freq_median;R_total_power_std
76,10,10,7,0.538,A_band3_ratio_std;R_dominant_freq_mean;R_mean_power_std,A_spectral_skewness_std;R_entropy_mean;R_wavelet_d3_ratio_std
77,10,10,3,0.176,A_band1_ratio_std;A_band3_ratio_std;R_freq_variance_median;R_mav_mean;R_mav_median;R_waveform_length_std;R_wavelet_entropy_std,A_band2_ratio_std;A_spectral_skewness_std;R_band5_ratio_mean;R_freq_variance_mean;R_mean_power_std;R_rms_median;R_variance_mean
