generator,m,K,S,MAE
MTD_VSG,2,4,0,11.75
MTD_VSG,2,4,1,26.87
MTD_VSG,2,4,3,12.2
MTD_VSG,2,6,0,11.57
MTD_VSG,2,6,1,12.36
MTD_VSG,2,6,3,12.57
MTD_VSG,2,9,0,11.92
MTD_VSG,2,9,1,12.49
MTD_VSG,2,9,3,11.8
MTD_VSG,2,13,0,12.13
MTD_VSG,2,13,1,11.72
MTD_VSG,2,13,3,11.64
MTD_VSG,2,17,0,12.24
MTD_VSG,2,17,1,12.08
MTD_VSG,2,17,3,12.0
MTD_VSG,3,4,0,10.93
MTD_VSG,3,4,1,11.37
MTD_VSG,3,4,3,11.2
MTD_VSG,3,6,0,11.08
MTD_VSG,3,6,1,11.3
MTD_VSG,3,6,3,11.43
MTD_VSG,3,9,0,10.97
MTD_VSG,3,9,1,11.2
MTD_VSG,3,9,3,11.08
MTD_VSG,3,13,0,11.44
MTD_VSG,3,13,1,10.82
MTD_VSG,3,13,3,11.21
MTD_VSG,3,17,0,10.99
MTD_VSG,3,17,1,11.0
MTD_VSG,3,17,3,10.99
GAMMA_proc,2,4,0,11.75
GAMMA_proc,2,4,1,13.8
GAMMA_proc,2,4,3,13.05
GAMMA_proc,2,6,0,11.57
GAMMA_proc,2,6,1,13.35
GAMMA_proc,2,6,3,14.2
GAMMA_proc,2,9,0,11.92
GAMMA_proc,2,9,1,13.58
GAMMA_proc,2,9,3,14.36
GAMMA_proc,2,13,0,12.13
GAMMA_proc,2,13,1,14.21
GAMMA_proc,2,13,3,14.77
GAMMA_proc,2,17,0,12.24
GAMMA_proc,2,17,1,13.66
GAMMA_proc,2,17,3,15.83
GAMMA_proc,3,4,0,10.93
GAMMA_proc,3,4,1,11.44
GAMMA_proc,3,4,3,11.3
GAMMA_proc,3,6,0,11.08
GAMMA_proc,3,6,1,11.16
GAMMA_proc,3,6,3,11.69
GAMMA_proc,3,9,0,10.97
GAMMA_proc,3,9,1,11.05
GAMMA_proc,3,9,3,11.46
GAMMA_proc,3,13,0,11.44
GAMMA_proc,3,13,1,11.85
GAMMA_proc,3,13,3,11.55
GAMMA_proc,3,17,0,10.99
GAMMA_proc,3,17,1,10.71
GAMMA_proc,3,17,3,11.24
