branch,best_model,feature,fold_count
SOLO_A,RandomForest,A_spectral_power_std,10
SOLO_A,RandomForest,A_band2_ratio_std,9
SOLO_A,RandomForest,A_spectral_skewness_std,9
SOLO_A,RandomForest,A_band3_ratio_std,9
SOLO_A,RandomForest,A_wavelet_d3_ratio_std,9
SOLO_A,RandomForest,A_entropy_mean,8
SOLO_A,RandomForest,A_waveform_length_std,8
SOLO_A,RandomForest,A_freq_variance_std,5
SOLO_R,Ridge,R_entropy_mean,10
SOLO_R,Ridge,R_waveform_length_std,9
SOLO_R,Ridge,R_dominant_freq_median,9
SOLO_R,Ridge,R_wavelet_d1_energy_std,7
SOLO_R,Ridge,R_wavelet_d2_energy_std,7
SOLO_R,Ridge,R_dominant_freq_mean,6
SOLO_R,Ridge,R_spectral_skewness_std,6
SOLO_R,Ridge,R_wavelet_entropy_mean,5
FUSION_AR,RandomForest,A_band2_ratio_std,10
FUSION_AR,RandomForest,R_waveform_length_std,9
FUSION_AR,RandomForest,R_dominant_freq_median,9
FUSION_AR,RandomForest,R_entropy_mean,8
FUSION_AR,RandomForest,A_band3_ratio_std,7
FUSION_AR,RandomForest,R_dominant_freq_mean,6
FUSION_AR,RandomForest,R_spectral_skewness_std,6
FUSION_AR,RandomForest,R_wavelet_d1_energy_std,5
FUSION_AR_reliability_aware,ElasticNet,A_band2_ratio_std,10
FUSION_AR_reliability_aware,ElasticNet,R_waveform_length_std,9
FUSION_AR_reliability_aware,ElasticNet,R_dominant_freq_median,9
FUSION_AR_reliability_aware,ElasticNet,R_entropy_mean,8
FUSION_AR_reliability_aware,ElasticNet,A_spectral_skewness_std,7
FUSION_AR_reliability_aware,ElasticNet,A_band3_ratio_std,7
FUSION_AR_reliability_aware,ElasticNet,R_dominant_freq_mean,6
FUSION_AR_reliability_aware,ElasticNet,R_spectral_skewness_std,6
